"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1","General Government","Mayoralty","Mayoralty",2024,163107000,309.5705,163107000,FALSE
"2","General Government","Board of Elections","Board of Elections",2024,257330000,309.5705,257330000,FALSE
"3","General Government","Campaign Finance Board","Campaign Finance Board",2024,21329000,309.5705,21329000,FALSE
"4","General Government","Office of the Actuary","Office of the Actuary",2024,7044000,309.5705,7044000,FALSE
"5","General Government","Borough President-Manhattan","Borough President-Manhattan",2024,6172000,309.5705,6172000,FALSE
"6","General Government","Borough President-Bronx","Borough President-Bronx",2024,6549000,309.5705,6549000,FALSE
"7","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2024,7164000,309.5705,7164000,FALSE
"8","General Government","Borough President-Queens","Borough President-Queens",2024,6495000,309.5705,6495000,FALSE
"9","General Government","Borough President-Staten Island","Borough President-Staten Island",2024,4966000,309.5705,4966000,FALSE
"10","General Government","Office of the Comptroller","Office of the Comptroller",2024,99518000,309.5705,99518000,FALSE
"11","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2024,5884000,309.5705,5884000,FALSE
"12","General Government","Law Department","Law Department",2024,309335000,309.5705,309335000,FALSE
"13","General Government","Department of City Planning","Department of City Planning",2024,45481000,309.5705,45481000,FALSE
"14","General Government","Department of Investigation","Department of Investigation",2024,48812000,309.5705,48812000,FALSE
"15","General Government","Department of Veterans Service","Department of Veterans Service",2024,5079000,309.5705,5079000,FALSE
"16","General Government","Public Advocate","Public Advocate",2024,5488000,309.5705,5488000,FALSE
"17","General Government","City Council","City Council",2024,94870000,309.5705,94870000,FALSE
"18","General Government","City Clerk","City Clerk",2024,5750000,309.5705,5750000,FALSE
"19","General Government","Financial Information Services Agency","Financial Information Services Agency",2024,121208000,309.5705,121208000,FALSE
"20","General Government","Office of Payroll Administration","Office of Payroll Administration",2024,16940000,309.5705,16940000,FALSE
"21","General Government","Independent Budget Office","Independent Budget Office",2024,6726000,309.5705,6726000,FALSE
"22","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2024,1105000,309.5705,1105000,FALSE
"23","General Government","Civil Service Commission","Civil Service Commission",2024,1124000,309.5705,1124000,FALSE
"24","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2024,7964000,309.5705,7964000,FALSE
"25","General Government","Districting Commission","Districting Commission",2024,17000,309.5705,17000,FALSE
"26","General Government","Commission on Human Rights","Commission on Human Rights",2024,11494000,309.5705,11494000,TRUE
"27","General Government","Office of Racial Equity","Office of Racial Equity",2024,1087000,309.5705,1087000,TRUE
"28","General Government","Commission of Racial Equity","Commission of Racial Equity",2024,314000,309.5705,314000,TRUE
"29","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2024,1100591000,309.5705,1100591000,TRUE
"30","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2024,2755000,309.5705,2755000,FALSE
"31","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2024,2610000,309.5705,2610000,FALSE
"32","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2024,271000,309.5705,271000,FALSE
"33","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2024,360000,309.5705,360000,FALSE
"34","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2024,429000,309.5705,429000,FALSE
"35","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2024,367000,309.5705,367000,FALSE
"36","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2024,393000,309.5705,393000,FALSE
"37","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2024,463000,309.5705,463000,FALSE
"38","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2024,366000,309.5705,366000,FALSE
"39","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2024,432000,309.5705,432000,FALSE
"40","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2024,395000,309.5705,395000,FALSE
"41","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2024,322000,309.5705,322000,FALSE
"42","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2024,375000,309.5705,375000,FALSE
"43","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2024,343000,309.5705,343000,FALSE
"44","General Government","Bronx Community Board #1","Bronx Community Board #1",2024,352000,309.5705,352000,FALSE
"45","General Government","Bronx Community Board #2","Bronx Community Board #2",2024,337000,309.5705,337000,FALSE
"46","General Government","Bronx Community Board #3","Bronx Community Board #3",2024,216000,309.5705,216000,FALSE
"47","General Government","Bronx Community Board #4","Bronx Community Board #4",2024,272000,309.5705,272000,FALSE
"48","General Government","Bronx Community Board #5","Bronx Community Board #5",2024,181000,309.5705,181000,FALSE
"49","General Government","Bronx Community Board #6","Bronx Community Board #6",2024,257000,309.5705,257000,FALSE
