"","revenue_category","subcategory","category","fiscal_year","Categorical.Citywide.Rev","FY_CPI","Adjusted.Categorical.Citywide.Rev"
"1","Taxes","Real Estate Taxes","Real Estate Taxes",2024,32987024000,309.5705,32987024000
"2","Taxes","Sales and Use Taxes","General Sales",2024,9955470000,309.5705,9955470000
"3","Taxes","Sales and Use Taxes","Cigarette",2024,14333000,309.5705,14333000
"4","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2024,68091000,309.5705,68091000
"5","Taxes","Sales and Use Taxes","Mortgage",2024,596642000,309.5705,596642000
"6","Taxes","Sales and Use Taxes","Stock Transfer",2024,0,309.5705,0
"7","Taxes","Sales and Use Taxes","Auto Use",2024,28410000,309.5705,28410000
"8","Taxes","Sales and Use Taxes","Other",2024,3866000,309.5705,3866000
"9","Taxes","Personal Income Taxes","Personal Income Taxes",2024,14052723000,309.5705,14052723000
"10","Taxes","Income Taxes, Other","General Corporation",2024,7355405000,309.5705,7355405000
"11","Taxes","Income Taxes, Other","Financial Corporation",2024,28479000,309.5705,28479000
"12","Taxes","Income Taxes, Other","Unincorporated Business",2024,3061653000,309.5705,3061653000
"13","Taxes","Income Taxes, Other","Pass-through Entity Tax",2024,1657404000,309.5705,1657404000
"14","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2024,238797000,309.5705,238797000
"15","Taxes","Income Taxes, Other","Utility",2024,429947000,309.5705,429947000
"16","Taxes","Other Taxes","Payments in Lieu of Taxes",2024,772889000,309.5705,772889000
"17","Taxes","Other Taxes","Hotel Room Occupancy",2024,725077000,309.5705,725077000
"18","Taxes","Other Taxes","Commercial Rents",2024,982280000,309.5705,982280000
"19","Taxes","Other Taxes","Horse Race Admissions",2024,15000,309.5705,15000
"20","Taxes","Other Taxes","Conveyance of Real Property",2024,1137280000,309.5705,1137280000
"21","Taxes","Other Taxes","Beer and Liquor Excise",2024,23222000,309.5705,23222000
"22","Taxes","Other Taxes","Taxi Medallion Transfer",2024,514000,309.5705,514000
"23","Taxes","Other Taxes","Off-Track Betting Surtax",2024,397000,309.5705,397000
"24","Taxes","Other Taxes","Surcharge on Liquor Licenses",2024,6822000,309.5705,6822000
"25","Taxes","Other Taxes","Coin-operated Amusement Devices",2024,0,309.5705,0
"26","Taxes","Other Taxes","Refunds of Other Taxes",2024,-56901000,309.5705,-56901000
"27","Taxes","Other Taxes","Other",2024,457000,309.5705,457000
"28","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2024,113299000,309.5705,113299000
"29","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2024,-6865000,309.5705,-6865000
"30","Federal Grants and Contracts--Categorical","General Government","General Government",2024,1586526000,309.5705,1586526000
"31","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2024,310976000,309.5705,310976000
"32","Federal Grants and Contracts--Categorical","Education","Education",2024,4357059000,309.5705,4357059000
"33","Federal Grants and Contracts--Categorical","Social Services","Social Services",2024,3609285000,309.5705,3609285000
"34","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2024,-2974000,309.5705,-2974000
"35","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2024,117015000,309.5705,117015000
"36","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2024,-12000,309.5705,-12000
"37","Federal Grants and Contracts--Categorical","Housing","Housing",2024,752121000,309.5705,752121000
"38","Federal Grants and Contracts--Categorical","Health","Health",2024,452930000,309.5705,452930000
"39","Federal Grants and Contracts--Categorical","Libraries","Libraries",2024,0,309.5705,0
"40","Federal Grants and Contracts--Categorical","City University","City University",2024,111126000,309.5705,111126000
"41","State Grants and Contracts--Categorical","General Government","General Government",2024,1715342000,309.5705,1715342000
"42","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2024,144564000,309.5705,144564000
"43","State Grants and Contracts--Categorical","Education","Education",2024,12930012000,309.5705,12930012000
"44","State Grants and Contracts--Categorical","Social Services","Social Services",2024,3310854000,309.5705,3310854000
"45","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2024,681000,309.5705,681000
"46","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2024,312290000,309.5705,312290000
"47","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2024,763000,309.5705,763000
"48","State Grants and Contracts--Categorical","Housing","Housing",2024,246000,309.5705,246000
"49","State Grants and Contracts--Categorical","Health","Health",2024,556547000,309.5705,556547000
"50","State Grants and Contracts--Categorical","City University","City University",2024,259458000,309.5705,259458000
"51","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2024,0,309.5705,0
"52","Non-Governmental Grants","General Government","General Government",2024,279458000,309.5705,279458000
"53","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2024,293725000,309.5705,293725000
"54","Non-Governmental Grants","Education","Education",2024,288352000,309.5705,288352000
"55","Non-Governmental Grants","Social Services","Social Services",2024,1747000,309.5705,1747000
"56","Non-Governmental Grants","Environmental Protection","Environmental Protection",2024,12330000,309.5705,12330000
"57","Non-Governmental Grants","Transportation Services","Transportation Services",2024,6508000,309.5705,6508000
"58","Non-Governmental Grants","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2024,19295000,309.5705,19295000
"59","Non-Governmental Grants","Housing","Housing",2024,4035000,309.5705,4035000
"60","Non-Governmental Grants","Health","Health",2024,63719000,309.5705,63719000
"61","Non-Governmental Grants","Libraries","Libraries",2024,0,309.5705,0
"62","Non-Governmental Grants","City University","City University",2024,16199000,309.5705,16199000
"63","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid",2024,-12590000,309.5705,-12590000
"64","Unrestricted Federal and State Aid","Intergovernmental Aid","Intergovernmental Aid",2024,41233000,309.5705,41233000
"65","Charges for Services","General Government Charges","General Government Charges",2024,898633000,309.5705,898633000
"66","Charges for Services","Water and Sewer","Water and Sewer",2024,1952826000,309.5705,1952826000
"67","Charges for Services","Housing","Housing",2024,12774000,309.5705,12774000
"68","Charges for Services","Rental Income","Rental Income",2024,283066000,309.5705,283066000
"69","Investment Income","Investment Income","Investment Income",2024,696027000,309.5705,696027000
"70","Licenses, Permits, Privileges and Franchises","Licenses","Licenses",2024,81756000,309.5705,81756000
"71","Licenses, Permits, Privileges and Franchises","Permits","Permits",2024,288123000,309.5705,288123000
"72","Licenses, Permits, Privileges and Franchises","Privileges and Franchises","Privileges and Franchises",2024,346745000,309.5705,346745000
"73","Fines and Forfeitures","Fines","Fines",2024,1365101000,309.5705,1365101000
"74","Fines and Forfeitures","Forfeitures","Forfeitures",2024,1573000,309.5705,1573000
"75","Miscellaneous","Miscellaneous","Miscellaneous",2024,745233000,309.5705,745233000
"76","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales",2024,217898000,309.5705,217898000
"77","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund",2024,44223000,309.5705,44223000
"78","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund",2024,164705000,309.5705,164705000
"79","Taxes","Real Estate Taxes","Real Estate Taxes",2023,31644665000,299.6855,32688450947
"80","Taxes","Sales and Use Taxes","General Sales",2023,9575336000,299.6855,9891174425
"81","Taxes","Sales and Use Taxes","Cigarette",2023,16996000,299.6855,17556606
"82","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2023,62768000,299.6855,64838376
"83","Taxes","Sales and Use Taxes","Mortgage",2023,898136000,299.6855,927760638
"84","Taxes","Sales and Use Taxes","Stock Transfer",2023,0,299.6855,0
"85","Taxes","Sales and Use Taxes","Auto Use",2023,31013000,299.6855,32035951
"86","Taxes","Sales and Use Taxes","Other",2023,768000,299.6855,793332
"87","Taxes","Personal Income Taxes","Personal Income Taxes",2023,14828978000,299.6855,15318105594
"88","Taxes","Income Taxes, Other","General Corporation",2023,6535408000,299.6855,6750975680
"89","Taxes","Income Taxes, Other","Financial Corporation",2023,455382000,299.6855,470402583
"90","Taxes","Income Taxes, Other","Unincorporated Business",2023,2672981000,299.6855,2761148153
"91","Taxes","Income Taxes, Other","Pass-through Entity Tax",2023,2387394000,299.6855,2466141186
"92","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2023,232165000,299.6855,239822865
"93","Taxes","Income Taxes, Other","Utility",2023,429383000,299.6855,443546017
"94","Taxes","Other Taxes","Payments in Lieu of Taxes",2023,652483000,299.6855,674004877
"95","Taxes","Other Taxes","Hotel Room Occupancy",2023,662181000,299.6855,684022761
"96","Taxes","Other Taxes","Commercial Rents",2023,992666000,299.6855,1025408670
"97","Taxes","Other Taxes","Horse Race Admissions",2023,14000,299.6855,14462
"98","Taxes","Other Taxes","Conveyance of Real Property",2023,1287403000,299.6855,1329867446
"99","Taxes","Other Taxes","Beer and Liquor Excise",2023,24095000,299.6855,24889763
"100","Taxes","Other Taxes","Taxi Medallion Transfer",2023,529000,299.6855,546449
"101","Taxes","Other Taxes","Off-Track Betting Surtax",2023,434000,299.6855,448315
"102","Taxes","Other Taxes","Surcharge on Liquor Licenses",2023,5228000,299.6855,5400443
"103","Taxes","Other Taxes","Coin-operated Amusement Devices",2023,0,299.6855,0
"104","Taxes","Other Taxes","Refunds of Other Taxes",2023,-60039000,299.6855,-62019361
"105","Taxes","Other Taxes","Other",2023,636000,299.6855,656978
"106","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2023,103021000,299.6855,106419104
"107","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2023,-3247000,299.6855,-3354101
"108","Federal Grants and Contracts--Categorical","General Government","General Government",2023,1259396000,299.6855,1300936647
"109","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2023,291484000,299.6855,301098477
"110","Federal Grants and Contracts--Categorical","Education","Education",2023,3969581000,299.6855,4100515957
"111","Federal Grants and Contracts--Categorical","Social Services","Social Services",2023,3141372000,299.6855,3244988832
"112","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2023,666000,299.6855,687968
"113","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2023,115941000,299.6855,119765265
"114","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2023,-824000,299.6855,-851179
"115","Federal Grants and Contracts--Categorical","Housing","Housing",2023,670589000,299.6855,692708096
"116","Federal Grants and Contracts--Categorical","Health","Health",2023,448842000,299.6855,463646864
"117","Federal Grants and Contracts--Categorical","Libraries","Libraries",2023,0,299.6855,0
"118","Federal Grants and Contracts--Categorical","City University","City University",2023,77196000,299.6855,79742278
"119","State Grants and Contracts--Categorical","General Government","General Government",2023,1287764000,299.6855,1330240353
"120","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2023,136671000,299.6855,141179035
"121","State Grants and Contracts--Categorical","Education","Education",2023,12352744000,299.6855,12760194058
"122","State Grants and Contracts--Categorical","Social Services","Social Services",2023,2250667000,299.6855,2324904303
"123","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2023,2945000,299.6855,3042140
"124","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2023,280365000,299.6855,289612721
"125","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2023,1681000,299.6855,1736447
"126","State Grants and Contracts--Categorical","Housing","Housing",2023,611000,299.6855,631154
"127","State Grants and Contracts--Categorical","Health","Health",2023,511022000,299.6855,527877845
"128","State Grants and Contracts--Categorical","City University","City University",2023,245100000,299.6855,253184520
"129","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2023,0,299.6855,0
"130","Non-Governmental Grants","General Government","General Government",2023,320924000,299.6855,331509543
"131","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2023,265494000,299.6855,274251208
"132","Non-Governmental Grants","Education","Education",2023,202996000,299.6855,209691738
"133","Non-Governmental Grants","Social Services","Social Services",2023,6615000,299.6855,6833193
"134","Non-Governmental Grants","Environmental Protection","Environmental Protection",2023,11572000,299.6855,11953698
"135","Non-Governmental Grants","Transportation Services","Transportation Services",2023,2299000,299.6855,2374832
"136","Non-Governmental Grants","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2023,12859000,299.6855,13283149
"137","Non-Governmental Grants","Housing","Housing",2023,8283000,299.6855,8556211
"138","Non-Governmental Grants","Health","Health",2023,38305000,299.6855,39568474
"139","Non-Governmental Grants","Libraries","Libraries",2023,0,299.6855,0
"140","Non-Governmental Grants","City University","City University",2023,15684000,299.6855,16201330
"141","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid",2023,-13374000,299.6855,-13815136
"142","Unrestricted Federal and State Aid","Intergovernmental Aid","Intergovernmental Aid",2023,186282000,299.6855,192426433
"143","Charges for Services","General Government Charges","General Government Charges",2023,847921000,299.6855,875889317
"144","Charges for Services","Water and Sewer","Water and Sewer",2023,1710007000,299.6855,1766410861
"145","Charges for Services","Housing","Housing",2023,15793000,299.6855,16313925
"146","Charges for Services","Rental Income","Rental Income",2023,266036000,299.6855,274811085
"147","Investment Income","Investment Income","Investment Income",2023,508143000,299.6855,524903883
"148","Licenses, Permits, Privileges and Franchises","Licenses","Licenses",2023,78991000,299.6855,81596485
"149","Licenses, Permits, Privileges and Franchises","Permits","Permits",2023,290503000,299.6855,300085119
"150","Licenses, Permits, Privileges and Franchises","Privileges and Franchises","Privileges and Franchises",2023,393537000,299.6855,406517652
"151","Fines and Forfeitures","Fines","Fines",2023,1453989000,299.6855,1501948215
"152","Fines and Forfeitures","Forfeitures","Forfeitures",2023,1304000,299.6855,1347012
"153","Miscellaneous","Miscellaneous","Miscellaneous",2023,674796000,299.6855,697053862
"154","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales",2023,169391000,299.6855,174978291
"155","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund",2023,48047000,299.6855,49631810
"156","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund",2023,240623000,299.6855,248559848
"157","Taxes","Real Estate Taxes","Real Estate Taxes",2022,29582214000,282.025,32471521245
"158","Taxes","Sales and Use Taxes","General Sales",2022,8560405000,282.025,9396503346
"159","Taxes","Sales and Use Taxes","Cigarette",2022,20465000,282.025,22463825
"160","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2022,62072000,282.025,68134598
"161","Taxes","Sales and Use Taxes","Mortgage",2022,1336023000,282.025,1466512927
"162","Taxes","Sales and Use Taxes","Stock Transfer",2022,0,282.025,0
"163","Taxes","Sales and Use Taxes","Auto Use",2022,28572000,282.025,31362639
"164","Taxes","Sales and Use Taxes","Other",2022,755000,282.025,828741
"165","Taxes","Personal Income Taxes","Personal Income Taxes",2022,16733563000,282.025,18367937114
"166","Taxes","Income Taxes, Other","General Corporation",2022,6177190000,282.025,6780518737
"167","Taxes","Income Taxes, Other","Financial Corporation",2022,63645000,282.025,69861234
"168","Taxes","Income Taxes, Other","Unincorporated Business",2022,2668960000,282.025,2929638442
"169","Taxes","Income Taxes, Other","Pass-through Entity Tax",2022,0,282.025,0
"170","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2022,211662000,282.025,232335116
"171","Taxes","Income Taxes, Other","Utility",2022,401870000,282.025,441120811
"172","Taxes","Other Taxes","Payments in Lieu of Taxes",2022,455375000,282.025,499851667
"173","Taxes","Other Taxes","Hotel Room Occupancy",2022,354711000,282.025,389355772
"174","Taxes","Other Taxes","Commercial Rents",2022,956613000,282.025,1050045793
"175","Taxes","Other Taxes","Horse Race Admissions",2022,9000,282.025,9879
"176","Taxes","Other Taxes","Conveyance of Real Property",2022,1918387000,282.025,2105756663
"177","Taxes","Other Taxes","Beer and Liquor Excise",2022,24967000,282.025,27405537
"178","Taxes","Other Taxes","Taxi Medallion Transfer",2022,735000,282.025,806788
"179","Taxes","Other Taxes","Off-Track Betting Surtax",2022,414000,282.025,454436
"180","Taxes","Other Taxes","Surcharge on Liquor Licenses",2022,1665000,282.025,1827621
"181","Taxes","Other Taxes","Coin-operated Amusement Devices",2022,0,282.025,0
"182","Taxes","Other Taxes","Refunds of Other Taxes",2022,-59602000,282.025,-65423352
"183","Taxes","Other Taxes","Other",2022,685000,282.025,751904
"184","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2022,101719000,282.025,111653937
"185","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2022,-6194000,282.025,-6798971
"186","Federal Grants and Contracts--Categorical","General Government","General Government",2022,5802521000,282.025,6369255659
"187","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2022,272260000,282.025,298851748
"188","Federal Grants and Contracts--Categorical","Education","Education",2022,4898685000,282.025,5377141618
"189","Federal Grants and Contracts--Categorical","Social Services","Social Services",2022,2492457000,282.025,2735896320
"190","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2022,6394000,282.025,7018505
"191","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2022,124527000,282.025,136689604
"192","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2022,515000,282.025,565300
"193","Federal Grants and Contracts--Categorical","Housing","Housing",2022,629799000,282.025,691311732
"194","Federal Grants and Contracts--Categorical","Health","Health",2022,708830000,282.025,778061723
"195","Federal Grants and Contracts--Categorical","Libraries","Libraries",2022,24000,282.025,26344
"196","Federal Grants and Contracts--Categorical","City University","City University",2022,111359000,282.025,122235480
"197","State Grants and Contracts--Categorical","General Government","General Government",2022,1128970000,282.025,1239236973
"198","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2022,85236000,282.025,93561036
"199","State Grants and Contracts--Categorical","Education","Education",2022,11942729000,282.025,13109180349
"200","State Grants and Contracts--Categorical","Social Services","Social Services",2022,1776925000,282.025,1950478010
"201","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2022,12996000,282.025,14265325
"202","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2022,239987000,282.025,263426631
"203","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2022,754000,282.025,827643
"204","State Grants and Contracts--Categorical","Housing","Housing",2022,614000,282.025,673970
"205","State Grants and Contracts--Categorical","Health","Health",2022,421137000,282.025,462269627
"206","State Grants and Contracts--Categorical","City University","City University",2022,238055000,282.025,261305932
"207","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2022,0,282.025,0
"208","Non-Governmental Grants","General Government","General Government",2022,492625000,282.025,540739890
"209","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2022,25273000,282.025,27741425
"210","Non-Governmental Grants","Education","Education",2022,154471000,282.025,169558247
"211","Non-Governmental Grants","Social Services","Social Services",2022,-742000,282.025,-814471
"212","Non-Governmental Grants","Environmental Protection","Environmental Protection",2022,7558000,282.025,8296193
"213","Non-Governmental Grants","Transportation Services","Transportation Services",2022,2204000,282.025,2419266
"214","Non-Governmental Grants","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2022,12089000,282.025,13269738
"215","Non-Governmental Grants","Housing","Housing",2022,8700000,282.025,9549733
"216","Non-Governmental Grants","Health","Health",2022,16507000,282.025,18119246
"217","Non-Governmental Grants","Libraries","Libraries",2022,113000,282.025,124037
"218","Non-Governmental Grants","City University","City University",2022,18099000,282.025,19866737
"219","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid",2022,-34846000,282.025,-38249423
"220","Unrestricted Federal and State Aid","Intergovernmental Aid","Intergovernmental Aid",2022,498400000,282.025,547078937
"221","Charges for Services","General Government Charges","General Government Charges",2022,849742000,282.025,932736657
"222","Charges for Services","Water and Sewer","Water and Sewer",2022,1574864000,282.025,1728681627
"223","Charges for Services","Housing","Housing",2022,23144000,282.025,25404484
"224","Charges for Services","Rental Income","Rental Income",2022,249020000,282.025,273341888
"225","Investment Income","Investment Income","Investment Income",2022,16022000,282.025,17586875
"226","Licenses, Permits, Privileges and Franchises","Licenses","Licenses",2022,67942000,282.025,74577924
"227","Licenses, Permits, Privileges and Franchises","Permits","Permits",2022,294604000,282.025,323378096
"228","Licenses, Permits, Privileges and Franchises","Privileges and Franchises","Privileges and Franchises",2022,288656000,282.025,316849153
"229","Fines and Forfeitures","Fines","Fines",2022,1229072000,282.025,1349115978
"230","Fines and Forfeitures","Forfeitures","Forfeitures",2022,1407000,282.025,1544422
"231","Miscellaneous","Miscellaneous","Miscellaneous",2022,508948000,282.025,558657165
"232","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales","Pollution Remediation-Bond Sales",2022,147672000,282.025,162095186
"233","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund","Transfer from General Debt Service Fund",2022,50861000,282.025,55828615
"234","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund","Transfer from Nonmajor Debt Service Fund",2022,234594000,282.025,257506894
"235","Taxes","Real Estate Taxes","Real Estate Taxes",2021,31464469000,263.1505,37014831439
"236","Taxes","Sales and Use Taxes","General Sales",2021,6587154000,263.1505,7749134269
"237","Taxes","Sales and Use Taxes","Cigarette",2021,22206000,263.1505,26123160
"238","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2021,62370000,263.1505,73372128
"239","Taxes","Sales and Use Taxes","Mortgage",2021,896467000,263.1505,1054604637
"240","Taxes","Sales and Use Taxes","Stock Transfer",2021,0,263.1505,0
"241","Taxes","Sales and Use Taxes","Auto Use",2021,33640000,263.1505,39574128
"242","Taxes","Sales and Use Taxes","Other",2021,851000,263.1505,1001117
"243","Taxes","Personal Income Taxes","Personal Income Taxes",2021,15140380000,263.1505,17811157519
"244","Taxes","Income Taxes, Other","General Corporation",2021,5447251000,263.1505,6408151289
"245","Taxes","Income Taxes, Other","Financial Corporation",2021,413269000,263.1505,486170047
"246","Taxes","Income Taxes, Other","Unincorporated Business",2021,2183399000,263.1505,2568552673
"247","Taxes","Income Taxes, Other","Pass-through Entity Tax",2021,0,263.1505,0
"248","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2021,187601000,263.1505,220693996
"249","Taxes","Income Taxes, Other","Utility",2021,362902000,263.1505,426918260
"250","Taxes","Other Taxes","Payments in Lieu of Taxes",2021,550063000,263.1505,647094640
"251","Taxes","Other Taxes","Hotel Room Occupancy",2021,106425000,263.1505,125198472
"252","Taxes","Other Taxes","Commercial Rents",2021,941341000,263.1505,1107394453
"253","Taxes","Other Taxes","Horse Race Admissions",2021,0,263.1505,0
"254","Taxes","Other Taxes","Conveyance of Real Property",2021,1058480000,263.1505,1245196885
"255","Taxes","Other Taxes","Beer and Liquor Excise",2021,20596000,263.1505,24229154
"256","Taxes","Other Taxes","Taxi Medallion Transfer",2021,244000,263.1505,287042
"257","Taxes","Other Taxes","Off-Track Betting Surtax",2021,643000,263.1505,756426
"258","Taxes","Other Taxes","Surcharge on Liquor Licenses",2021,6543000,263.1505,7697191
"259","Taxes","Other Taxes","Coin-operated Amusement Devices",2021,0,263.1505,0
"260","Taxes","Other Taxes","Refunds of Other Taxes",2021,-58393000,263.1505,-68693581
"261","Taxes","Other Taxes","Other",2021,545000,263.1505,641139
"262","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2021,108208000,263.1505,127295995
"263","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2021,-2787000,263.1505,-3278629
"264","Federal Grants and Contracts--Categorical","General Government","General Government",2021,4574414000,263.1505,5381345007
"265","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2021,250631000,263.1505,294842548
"266","Federal Grants and Contracts--Categorical","Education","Education",2021,2498003000,263.1505,2938653119
"267","Federal Grants and Contracts--Categorical","Social Services","Social Services",2021,3306074000,263.1505,3889268617
"268","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2021,4155000,263.1505,4887946
"269","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2021,77787000,263.1505,91508701
"270","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2021,215000,263.1505,252926
"271","Federal Grants and Contracts--Categorical","Housing","Housing",2021,598892000,263.1505,704537122
"272","Federal Grants and Contracts--Categorical","Health","Health",2021,1098430000,263.1505,1292194103
"273","Federal Grants and Contracts--Categorical","Libraries","Libraries",2021,0,263.1505,0
"274","Federal Grants and Contracts--Categorical","City University","City University",2021,31164000,263.1505,36661359
"275","State Grants and Contracts--Categorical","General Government","General Government",2021,1084303000,263.1505,1275575087
"276","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2021,94008000,263.1505,110591101
