,,,,,,,,Fiscal Year,,,,,
,,,,,,,,(AMOUNTS IN THOUSANDS),,,,,
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Taxes (Net of Refunds):,,,,,,,,,,,,,
Real Estate Taxes,"$31,644,665 ","$29,582,214 ","$31,464,469 ","$29,815,935 ","$27,884,735 ","$26,407,630 ","$24,679,412 ","$23,180,583 ","$21,517,932 ","$20,202,022 ","$18,969,610 ","$18,157,722 ","$17,086,484 "
Sales and Use Taxes (Net of Refunds):,,,,,,,,,,,,,
General Sales,"9,575,336","8,560,405","6,587,154","7,385,024","7,839,527","7,460,490","7,034,094","7,166,843","6,755,971","6,508,814","6,149,880","5,826,046","5,610,243"
Cigarette,"16,996","20,465","22,206","25,746","29,938","36,483","37,212","44,849","49,897","55,123","61,071","67,561","69,795"
Commercial Motor Vehicle,"62,768","62,072","62,370","63,736","85,488","73,707","76,667","64,897","60,757","50,299","48,247","53,675","47,720"
Mortgage,"898,136","1,336,023","896,467","974,514","1,096,556","1,049,474","1,117,760","1,233,736","1,154,627","960,852","742,086","536,737","434,418"
Stock Transfer,-,-,-,-,-,-,-,-,-,-,"28,225",-,-
Auto Use,"31,013","28,572","33,640","27,952","29,925","30,317","30,703","29,829","29,680","28,898","2,750","28,088","28,039"
Other,768,755,851,"1,138","1,346",-,-,-,-,-,-,-,-
Total Sales and Use Taxes,"10,585,017","10,008,292","7,602,688","8,478,110","9,082,780","8,650,471","8,296,436","8,540,154","8,050,932","7,603,986","7,032,259","6,512,107","6,190,215"
Personal Income Taxes (Net of Refunds),"14,828,978","16,733,563","15,140,380","13,591,179","13,376,944","13,411,315","11,257,809","11,392,473","11,294,669","10,173,614","9,814,898","8,557,002","8,165,972"
"Income Taxes, Other (Net of Refunds)",-,-,-,-,-,-,-,-,-,-,-,-,-
General Corporation,"6,535,408","6,177,190","5,447,251","5,170,058","4,728,619","4,101,887","4,045,398","3,631,441","3,335,917","3,367,328","3,348,349","2,845,794","2,898,760"
Financial Corporation,"455,382","63,645","413,269","82,902","-1,283","394,858","435,658","689,535","1,658,179","1,352,349","1,467,473","1,421,401","1,519,450"
Unincorporated Business,"2,672,981","2,668,960","2,183,399","2,053,213","2,123,980","2,269,384","2,079,048","2,111,644","2,064,596","1,954,138","1,894,021","1,688,318","1,733,426"
Pass-through Entity Tax,"2,387,394",-,-,-,-,-,-,-,-,-,-,-,-
Personal Income- (Non-Resident City Employees),"232,165","211,662","187,601","184,946","178,399","173,118","161,775","153,793","145,436","130,688","128,664","123,792","120,192"
Utility,"429,383","401,870","362,902","370,877","386,550","389,648","398,742","361,201","397,914","410,342","410,126","419,576","433,471"
"Total Income Taxes, Other","12,712,713","9,523,327","8,594,422","7,861,996","7,416,265","7,328,895","7,120,621","6,947,614","7,602,042","7,214,845","7,248,633","6,498,881","6,705,299"
Other Taxes:,,,,,,,,,,,,,
Payments in Lieu of Taxes,"652,483","455,375","550,063","736,618","491,292","376,546","351,438","320,634","304,585","270,131","265,164","261,128","276,082"
Hotel Room Occupancy,"662,181","354,711","106,425","481,739","634,022","606,728","582,481","568,069","559,846","541,293","512,342","485,258","431,980"
Commercial Rents,"992,666","956,613","941,341","942,889","995,346","919,094","921,373","836,816","787,035","771,186","721,213","673,326","630,670"
Horse Race Admissions,14,9,-,25,42,36,43,42,38,20,22,22,20
Conveyance of Real Property,"1,287,403","1,918,387","1,058,480","1,140,136","1,563,388","1,426,869","1,418,683","1,788,182","1,772,193","1,530,167","1,096,432","917,652","798,977"
Beer and Liquor Excise,"24,095","24,967","20,596","23,787","25,795","24,400","25,814","25,350","24,585","22,604","24,038","22,733","23,617"
