,,,,,,,,Fiscal Year,,,,,
,,,,,,,,(AMOUNTS IN THOUSANDS),,,,,
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
"Taxes (Net of Refunds):","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Real Estate Taxes","$31,644,665","$29,582,214","$31,464,469","$29,815,935","$27,884,735","$26,407,630","$24,679,412","$23,180,583","$21,517,932","$20,202,022","$18,969,610","$18,157,722","$17,086,484","$16,369,447","$14,487,231","$13,203,930","$13,122,812","$12,636,355","$11,615,939","$11,582,328","$10,062,929","$8,760,873","$8,245,585","$7,849,962","$7,630,673","$7,239,193","$7,290,685","$7,100,360","$7,473,580","$7,773,322"
"Sales and Use Taxes (Net of Refunds):","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"General Sales","9,575,336","8,560,405","6,587,154","7,385,024","7,839,527","7,460,490","7,034,094","7,166,843","6,755,971","6,508,814","6,149,880","5,826,046","5,610,243","5,076,371","4,614,926","4,890,738","4,644,539","4,439,362","4,375,119","4,042,486","3,550,673","3,373,354","3,678,734","3,525,610","3,204,138","3,069,378","2,937,083","2,742,206","2,620,933","2,503,646"
"Cigarette","16,996","20,465","22,206","25,746","29,938","36,483","37,212","44,849","49,897","55,123","61,071","67,561","69,795","94,053","96,438","123,792","123,259","123,287","126,535","138,809","158,466","27,441","27,901","31,117","32,907","33,728","32,942","34,208","37,792","37,685"
"Commercial Motor Vehicle","62,768","62,072","896,467","974,514","1,096,556","73,707","76,667","64,897","60,757","50,299","48,247","53,675","47,720","46,519","47,785","47,553","46,528","43,548","42,355","46,474","47,386","45,023","47,855","51,022","33,765","43,901","40,342","35,873","34,391","28,478"
"Mortgage","898,136","1,336,023","-","-","-","104,947","1,117,760","1,233,736","1,154,627","960,852","742,086","536,737","434,418","366,390","515,131","1,137,845","1,569,640","1,352,585","1,250,015","817,243","526,293","476,941","406,699","403,373","408,004","231,991","185,189","147,186","169,579","133,668"
"Stock Transfer","-","-","33,640","27,952","29,925","-","-","-","-","-","28,225","-","-","-","133","9","5","5","4","5","5,766","4","4","114,041","114,042","114,043","114,042","114,042","114,042","114,042"
"Auto Use","31,013","28,572","851","1,138","1,346","30,317","30,703","29,829","29,680","28,898","2,750","28,088","28,039","28,065","27,694","28,420","27,992","27,362","28,451","35,903","32,355","34,258","33,870","34,010","32,743","28,588","28,112","28,000","28,017","28,576"
"Other","768","75","62,370","63,736","85,488","-","-","-","-","-","-","-","-","-","-","-","57","507","272","367","525","365","529","771","398","1,580","8,749","9,335","8,417","8,899"
