"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1","General Government","Mayoralty","Mayoralty",2023,163387000,299.6855,168776523.979305,FALSE
"2","General Government","Board of Elections","Board of Elections",2023,258009000,299.6855,266519748.666519,FALSE
"3","General Government","Campaign Finance Board","Campaign Finance Board",2023,59944000,299.6855,61921327.605106,FALSE
"4","General Government","Office of the Actuary","Office of the Actuary",2023,6692000,299.6855,6912743.96659165,FALSE
"5","General Government","Borough President-Manhattan","Borough President-Manhattan",2023,5572000,299.6855,5755799.36967254,FALSE
"6","General Government","Borough President-Bronx","Borough President-Bronx",2023,6304000,299.6855,6511945.30265896,FALSE
"7","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2023,7751000,299.6855,8006676.40242855,FALSE
"8","General Government","Borough President-Queens","Borough President-Queens",2023,6712000,299.6855,6933403.69153663,FALSE
"9","General Government","Borough President-Staten Island","Borough President-Staten Island",2023,5382000,299.6855,5559531.98269519,FALSE
"10","General Government","Office of the Comptroller","Office of the Comptroller",2023,92450000,299.6855,95499578.5581885,FALSE
"11","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2023,5949000,299.6855,6145235.18488549,FALSE
"12","General Government","Law Department","Law Department",2023,235485000,299.6855,243252766.433478,FALSE
"13","General Government","Department of City Planning","Department of City Planning",2023,39706000,299.6855,41015751.9332767,FALSE
"14","General Government","Department of Investigation","Department of Investigation",2023,40386000,299.6855,41718182.5814062,FALSE
"15","General Government","Department of Veterans Service","Department of Veterans Service",2023,5531000,299.6855,5713446.93353532,FALSE
"16","General Government","Public Advocate","Public Advocate",2023,5083000,299.6855,5250669.09476768,FALSE
"17","General Government","City Council","City Council",2023,84760000,299.6855,87555914.3168422,FALSE
"18","General Government","City Clerk","City Clerk",2023,5940000,299.6855,6135938.30866025,FALSE
"19","General Government","Financial Information Services Agency","Financial Information Services Agency",2023,118537000,299.6855,122447090.790178,FALSE
"20","General Government","Office of Payroll Administration","Office of Payroll Administration",2023,16055000,299.6855,16584594.1995859,FALSE
"21","General Government","Independent Budget Office","Independent Budget Office",2023,5203000,299.6855,5374627.44443759,FALSE
"22","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2023,1267000,299.6855,1308793.57526474,FALSE
"23","General Government","Civil Service Commission","Civil Service Commission",2023,987000,299.6855,1019557.42603496,FALSE
"24","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2023,7204000,299.6855,7441632.92518323,FALSE
"25","General Government","Districting Commission","Districting Commission",2023,1026000,299.6855,1059843.88967768,FALSE
"26","General Government","Commission on Human Rights","Commission on Human Rights",2023,10996000,299.6855,11358716.7747522,TRUE
"27","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2023,964930000,299.6855,996759419.55817,TRUE
"28","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2023,2608000,299.6855,2694028.13282591,FALSE
"29","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2023,2385000,299.6855,2463672.19968934,FALSE
"30","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2023,242000,299.6855,249982.671834306,FALSE
"31","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2023,313000,299.6855,323324.695389,FALSE
"32","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2023,413000,299.6855,426623.32011392,FALSE
"33","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2023,366000,299.6855,378072.966493207,FALSE
"34","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2023,398000,299.6855,411128.526405182,FALSE
"35","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2023,419000,299.6855,432821.237597415,FALSE
"36","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2023,350000,299.6855,361545.18653722,FALSE
"37","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2023,418000,299.6855,431788.251350165,FALSE
"38","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2023,407000,299.6855,420425.402630424,FALSE
"39","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2023,379000,299.6855,391501.787707447,FALSE
"40","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2023,366000,299.6855,378072.966493207,FALSE
"41","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2023,427000,299.6855,441085.127575408,FALSE
