"","revenue_category","subcategory","category","fiscal_year","Categorical.Citywide.Rev","FY_CPI","Adjusted.Categorical.Citywide.Rev"
"1","Taxes","Real Estate Taxes","Real Estate Taxes",2023,31644665000,299.6855,32688503744
"2","Taxes","Sales and Use Taxes","General Sales",2023,9575336000,299.6855,9891190401
"3","Taxes","Sales and Use Taxes","Cigarette",2023,16996000,299.6855,17556634
"4","Taxes","Sales and Use Taxes","Commercial Motor Vehicle",2023,62768000,299.6855,64838481
"5","Taxes","Sales and Use Taxes","Mortgage",2023,898136000,299.6855,927762136
"6","Taxes","Sales and Use Taxes","Stock Transfer",2023,0,299.6855,0
"7","Taxes","Sales and Use Taxes","Auto Use",2023,31013000,299.6855,32036002
"8","Taxes","Sales and Use Taxes","Other",2023,768000,299.6855,793333
"9","Taxes","Personal Income Taxes","Personal Income Taxes",2023,14828978000,299.6855,15318130335
"10","Taxes","Income Taxes, Other","General Corporation",2023,6535408000,299.6855,6750986584
"11","Taxes","Income Taxes, Other","Financial Corporation",2023,455382000,299.6855,470403343
"12","Taxes","Income Taxes, Other","Unincorporated Business",2023,2672981000,299.6855,2761152612
"13","Taxes","Income Taxes, Other","Pass-through Entity Tax",2023,2387394000,299.6855,2466145169
"14","Taxes","Income Taxes, Other","Personal Income- (Non-Resident City Employees)",2023,232165000,299.6855,239823252
"15","Taxes","Income Taxes, Other","Utility",2023,429383000,299.6855,443546734
"16","Taxes","Other Taxes","Payments in Lieu of Taxes",2023,652483000,299.6855,674005966
"17","Taxes","Other Taxes","Hotel Room Occupancy",2023,662181000,299.6855,684023866
"18","Taxes","Other Taxes","Commercial Rents",2023,992666000,299.6855,1025410326
"19","Taxes","Other Taxes","Horse Race Admissions",2023,14000,299.6855,14462
"20","Taxes","Other Taxes","Conveyance of Real Property",2023,1287403000,299.6855,1329869594
"21","Taxes","Other Taxes","Beer and Liquor Excise",2023,24095000,299.6855,24889804
"22","Taxes","Other Taxes","Taxi Medallion Transfer",2023,529000,299.6855,546450
"23","Taxes","Other Taxes","Off-Track Betting Surtax",2023,434000,299.6855,448316
"24","Taxes","Other Taxes","Surcharge on Liquor Licenses",2023,5228000,299.6855,5400452
"25","Taxes","Other Taxes","Coin-operated Amusement Devices",2023,0,299.6855,0
"26","Taxes","Other Taxes","Refunds of Other Taxes",2023,-60039000,299.6855,-62019461
"27","Taxes","Other Taxes","Other",2023,636000,299.6855,656979
"28","Taxes","Penalties and Interest on Delinquent Taxes","Penalties and Interest on Real Estate Taxes",2023,103021000,299.6855,106419276
"29","Taxes","Penalties and Interest on Delinquent Taxes","Refunds--Penalties and Interest on Other Taxes",2023,-3247000,299.6855,-3354106
"30","Federal Grants and Contracts--Categorical","General Government","General Government",2023,1259396000,299.6855,1300938748
"31","Federal Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2023,291484000,299.6855,301098963
"32","Federal Grants and Contracts--Categorical","Education","Education",2023,3969581000,299.6855,4100522580
"33","Federal Grants and Contracts--Categorical","Social Services","Social Services",2023,3141372000,299.6855,3244994073
"34","Federal Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2023,666000,299.6855,687969
"35","Federal Grants and Contracts--Categorical","Transportation Services","Transportation Services",2023,115941000,299.6855,119765458
"36","Federal Grants and Contracts--Categorical","Parks, Recreation, and Cultural Activities","Parks, Recreation, and Cultural Activities",2023,-824000,299.6855,-851181
"37","Federal Grants and Contracts--Categorical","Housing","Housing",2023,670589000,299.6855,692709215
"38","Federal Grants and Contracts--Categorical","Health","Health",2023,448842000,299.6855,463647613
"39","Federal Grants and Contracts--Categorical","Libraries","Libraries",2023,0,299.6855,0
"40","Federal Grants and Contracts--Categorical","City University","City University",2023,77196000,299.6855,79742406
"41","State Grants and Contracts--Categorical","General Government","General Government",2023,1287764000,299.6855,1330242502
"42","State Grants and Contracts--Categorical","Public Safety and Judicial","Public Safety and Judicial",2023,136671000,299.6855,141179263
"43","State Grants and Contracts--Categorical","Education","Education",2023,12352744000,299.6855,12760214668
"44","State Grants and Contracts--Categorical","Social Services","Social Services",2023,2250667000,299.6855,2324908058
