"","year","agency","funding_class","sum_rev","agency_total_budget","proportion"
"1",2011,"Administration for Children's Services","FEDERAL - OTHER",1355797068.93,2760802936.08,0.49
"2",2011,"Administration for Children's Services","STATE",994666072.12,2760802936.08,0.36
"3",2011,"Board of Elections","FEDERAL - OTHER",77336,102874348.64,0
"4",2011,"Board of Elections","STATE",1326990.85,102874348.64,0.01
"5",2011,"Borough President - Brooklyn","FEDERAL - OTHER",566695.41,5373561.34,0.11
"6",2011,"Borough President - Brooklyn","STATE",313281.41,5373561.34,0.06
"7",2011,"Borough President - Manhattan","FEDERAL - OTHER",733832.91,4353335.44,0.17
"8",2011,"Borough President - Manhattan","STATE",11393,4353335.44,0
"9",2011,"Borough President - Queens","FEDERAL - OTHER",469051.25,4700505.76,0.1
"10",2011,"Bronx Community Board #12","STATE",10000,208287.88,0.05
"11",2011,"Business Integrity Commission","FEDERAL - OTHER",8016.92,6851325.97,0
"12",2011,"Business Integrity Commission","STATE",0,6851325.97,0
"13",2011,"City University of New York","FEDERAL - OTHER",32835655.7,777116992.07,0.04
"14",2011,"City University of New York","STATE",153802162,777116992.07,0.2
"15",2011,"Commission on Human Rights","FEDERAL - OTHER",156675.05,6135629.93,0.03
"16",2011,"Debt Service","FEDERAL - OTHER",130368046.28,5255121447.49,0.02
"17",2011,"Department for the Aging","FEDERAL - OTHER",81449634.0300001,263711206.36,0.31
"18",2011,"Department for the Aging","STATE",37979338.98,263711206.36,0.14
"19",2011,"Department of City Planning","FEDERAL - OTHER",2976741.7,23662108.93,0.13
"20",2011,"Department of City Planning","STATE",249466.02,23662108.93,0.01
"21",2011,"Department of Citywide Administrative Services","FEDERAL - OTHER",27931408.7,1117608462.81,0.02
"22",2011,"Department of Citywide Administrative Services","STATE",82851130.06,1117608462.81,0.07
"23",2011,"Department of Consumer Affairs","STATE",3351238.24,21827517.21,0.15
"24",2011,"Department of Correction","FEDERAL - OTHER",18357122.78,1045113075.44,0.02
"25",2011,"Department of Correction","STATE",1270768.69,1045113075.44,0
"26",2011,"Department of Cultural Affairs","STATE",601889.73,144050223.31,0
"27",2011,"Department of Education","FEDERAL - OTHER",2788357965.09,18938899076.9,0.15
"28",2011,"Department of Education","STATE",8156265811.72999,18938899076.9,0.43
"29",2011,"Department of Emergency Management","FEDERAL - OTHER",33774279.89,33825809.77,1
"30",2011,"Department of Emergency Management","STATE",92031.49,33825809.77,0
"31",2011,"Department of Environmental Protection","FEDERAL - OTHER",8374874.78,1021577378.75,0.01
"32",2011,"Department of Environmental Protection","STATE",139610.53,1021577378.75,0
"33",2011,"Department of Finance","STATE",511675,219736919.38,0
"34",2011,"Department of Health and Mental Hygiene","FEDERAL - OTHER",330682155.130001,1626906080.58,0.2
"35",2011,"Department of Health and Mental Hygiene","STATE",563309783.959999,1626906080.58,0.35
"36",2011,"Department of Homeless Services","FEDERAL - OTHER",474554539.53,1019182778.69,0.47
"37",2011,"Department of Homeless Services","STATE",249134928.22,1019182778.69,0.24
"38",2011,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",9666027.62,415382258.76,0.02
"39",2011,"Department of Information Technology and Telecommunications","STATE",30087,415382258.76,0
"40",2011,"Department of Investigation","FEDERAL - OTHER",6500,21736911.13,0
"41",2011,"Department of Investigation","STATE",29300,21736911.13,0
"42",2011,"Department of Juvenile Justice","FEDERAL - OTHER",501567,203356949.93,0
"43",2011,"Department of Juvenile Justice","STATE",45601493.84,203356949.93,0.22
"44",2011,"Department of Parks and Recreation","FEDERAL - OTHER",1503219.93,393740150.569999,0
"45",2011,"Department of Parks and Recreation","STATE",2180287.50999999,393740150.569999,0.01
"46",2011,"Department of Probation","FEDERAL - OTHER",4290779.5,81889613.0700001,0.05
"47",2011,"Department of Probation","STATE",14214429.24,81889613.0700001,0.17
"48",2011,"Department of Records and Information Services","STATE",224138,5178781.44,0.04
"49",2011,"Department of Sanitation","FEDERAL - OTHER",222.86,1408382614.38,0
"50",2011,"Department of Sanitation","STATE",10130982.15,1408382614.38,0.01
"51",2011,"Department of Small Business Services","FEDERAL - OTHER",64225901.9100001,148745809.8,0.43
"52",2011,"Department of Small Business Services","STATE",917040.75000001,148745809.8,0.01
"53",2011,"Department of Social Services","FEDERAL - OTHER",1653334038.37,8068753247.88001,0.2
"54",2011,"Department of Social Services","STATE",1036645267.23,8068753247.88001,0.13
"55",2011,"Department of Transportation","FEDERAL - OTHER",103033937.3,864912858.900001,0.12
"56",2011,"Department of Transportation","STATE",234890147.48,864912858.900001,0.27
"57",2011,"Department of Youth and Community Development","FEDERAL - OTHER",86462109.89,350263152.11,0.25
"58",2011,"Department of Youth and Community Development","STATE",8250819,350263152.11,0.02
"59",2011,"District Attorney - Bronx County","FEDERAL - OTHER",1433895.55,51067717.01,0.03
"60",2011,"District Attorney - Bronx County","STATE",4117552.66,51067717.01,0.08
"61",2011,"District Attorney - New York County","FEDERAL - OTHER",2064914.79,104689619.47,0.02
"62",2011,"District Attorney - New York County","STATE",9007263.65,104689619.47,0.09
"63",2011,"District Attorney - Queens County","FEDERAL - OTHER",1305284,48035748.83,0.03
"64",2011,"District Attorney - Queens County","STATE",3897243.71,48035748.83,0.08
"65",2011,"District Attorney -Kings County","FEDERAL - OTHER",2739814.39,84986657,0.03
"66",2011,"District Attorney -Kings County","STATE",7469506.06,84986657,0.09
"67",2011,"District Attorney -Richmond County","FEDERAL - OTHER",528040.32,8610718.79,0.06
"68",2011,"District Attorney -Richmond County","STATE",695205.31,8610718.79,0.08
